;neg;pos;neu;compound;Ticker;;;;;
0;0,064999578;0,088842744;0,846154301;0,085344749;2009-12;;;;;
0;0,067180652;0,086006415;0,846812016;0,068469185;2010-1;;;;;
0;0,0669359;0,086631534;0,846429985;0,075212013;2010-2;;;;;
0;0,06728186;0,085382511;0,847332664;0,068918264;2010-3;;;;;
0;0,068051484;0,082088332;0,849856704;0,051593142;2010-4;;;;;
0;0,070568523;0,083789976;0,845633742;0,042941407;2010-5;;;;;
0;0,065264023;0,085141014;0,849589864;0,065376574;2010-6;;;;;
0;0,068783269;0,084806604;0,846296423;0,057594783;2010-7;;;;;
0;0,070055385;0,082288866;0,847538383;0,040056409;2010-8;;;;;
0;0,064738409;0,082369205;0,852887069;0,05631527;2010-9;;;;;
0;0,066655454;0,084037354;0,849303993;0,058730812;2010-10;;;;;
0;0,066369973;0,0857623;0,847863348;0,069204102;2010-11;;;;;
0;0,068615042;0,089458243;0,841922142;0,065925355;2010-12;0,074074645;;;;
0;0,068982307;0,085764803;0,845248762;0,059443135;2011-1;0,080556865;;;;
0;0,068276746;0,086049766;0,845670456;0,061178401;2011-2;0,078821599;;;;
0;0,073386439;0,080031575;0,846575006;0,021222679;2011-3;0,118777321;;;;
0;0,071242829;0,080342018;0,848414924;0,029530922;2011-4;0,110469078;;;;
0;0,06947618;0,081924187;0,84859448;0,039820854;2011-5;0,100179146;;;;
0;0,069450709;0,081926529;0,848620088;0,043611846;2011-6;0,096388154;;;;
0;0,073472393;0,082191436;0,844330287;0,031356454;2011-7;0,108643546;;;;
0;0,073064635;0,081370976;0,845558368;0,034189875;2011-8;0,105810125;;;;
0;0,067381087;0,080398804;0,852212391;0,048151957;2011-9;0,091848043;;;;
0;0,071228232;0,082743155;0,846023227;0,038556991;2011-10;0,101443009;;;;
0;0,072184591;0,084064779;0,84374742;0,043326129;2011-11;0,096673871;;;;
0;0,071786806;0,086662159;0,841429092;0,048091733;2011-12;0,091908267;;;;
0;0,06477236;0,082631217;0,852596859;0,066521575;2012-1;0,073478425;;;;
0;0,064840382;0,087587767;0,847574238;0,078361232;2012-2;0,061638768;;;;
0;0,069138578;0,085316056;0,845542565;0,058196864;2012-3;0,081803136;;;;
0;0,067893083;0,082649029;0,84945716;0,054263956;2012-4;0,085736044;;;;
0;0,068024035;0,085255698;0,846718574;0,056964884;2012-5;0,083035116;;;;
0;0,065125574;0,08722415;0,84764614;0,076414488;2012-6;0,063585512;;;;
0;0,068514047;0,083104169;0,848375625;0,055027171;2012-7;0,084972829;;;;
0;0,068422336;0,085954767;0,845614484;0,061323531;2012-8;0,078676469;;;;
0;0,064964845;0,080586684;0,854446545;0,056410258;2012-9;0,083589742;;;;
0;0,067642309;0,082222884;0,850135265;0,053065182;2012-10;0,086934818;;;;
0;0,06938045;0,087488252;0,843128785;0,056764594;2012-11;0,083235406;;;;
0;0,074128536;0,088643927;0,837221991;0,046076345;2012-12;0,093923655;;;;
0;0,074204623;0,082733576;0,84305841;0,030422497;2013-1;0,109577503;;;;
0;0,071113006;0,083764392;0,84511887;0,04350645;2013-2;0,09649355;;;;
0;0,072623885;0,081465958;0,845907957;0,030284647;2013-3;0,109715353;;;;
0;0,073058824;0,08518947;0,841746192;0,04372454;2013-4;0,09627546;;;;
0;0,073065889;0,081209463;0,845721009;0,03106885;2013-5;0,10893115;;;;
0;0,067024997;0,08279192;0,850175787;0,05851439;2013-6;0,08148561;;;;
0;0,071856623;0,083711208;0,844423144;0,041581281;2013-7;0,098418719;;;;
0;0,070165059;0,082373681;0,847451462;0,04200811;2013-8;0,09799189;;;;
0;0,065022183;0,08040528;0,854569407;0,054664194;2013-9;0,085335806;;;;
0;0,071717157;0,083957334;0,844324342;0,043139139;2013-10;0,096860861;;;;
0;0,0694067;0,089266857;0,841326443;0,066497063;2013-11;0,073502937;;;;
0;0,069016827;0,090812251;0,840161328;0,070390539;2013-12;0,069609461;;;;
0;0,069446368;0,085039117;0,845511926;0,055418891;2014-1;0,084581109;;;;
0;0,065139893;0,085358594;0,849503674;0,071948394;2014-2;0,068051606;;;;
0;0,06965048;0,082861277;0,847486156;0,045488618;2014-3;0,094511382;;;;
0;0,068902369;0,085409314;0,845682734;0,054994063;2014-4;0,085005937;;;;
0;0,06884647;0,082612796;0,848539144;0,048020572;2014-5;0,091979428;;;;
0;0,068883867;0,084216882;0,846898434;0,050641225;2014-6;0,089358775;;;;
0;0,073519372;0,084229674;0,842240534;0,038992339;2014-7;0,101007661;;;;
0;0,071617455;0,084495211;0,843880036;0,039289615;2014-8;0,100710385;;;;
0;0,066206065;0,079766249;0,854027423;0,045652762;2014-9;0,094347238;;;;
0;0,069971127;0,08453854;0,845356016;0,048645408;2014-10;0,091354592;;;;
0;0,068346102;0,086356536;0,845294083;0,058456551;2014-11;0,081543449;;;;
0;0,073989405;0,089795553;0,836209372;0,045337039;2014-12;0,094662961;;;;
0;0,070400956;0,082802056;0,846795685;0,044462554;2015-1;0,095537446;;;;
0;0,06637067;0,083600901;0,850022215;0,056171291;2015-2;0,083828709;;;;
0;0,067289032;0,080496344;0,852210179;0,045728631;2015-3;0,094271369;;;;
0;0,069244115;0,085093702;0,84565668;0,053380098;2015-4;0,086619902;;;;
0;0,070485831;0,079943322;0,849573259;0,033611426;2015-5;0,106388574;;;;
0;0,067589895;0,082337556;0,850071686;0,047507946;2015-6;0,092492054;;;;
0;0,070374223;0,08232628;0,8471496;0,036987038;2015-7;0,103012962;;;;
0;0,072294939;0,076131614;0,851567532;0,012347535;2015-8;0,127652465;;;;
0;0,065213591;0,082331187;0,852451073;0,057734649;2015-9;0,082265351;;;;
0;0,069670604;0,081088934;0,849238561;0,03825313;2015-10;0,10174687;;;;
0;0,076655023;0,082822304;0,840515302;0,017353773;2015-11;0,122646227;;;;
0;0,07640857;0,084561293;0,839024486;0,025606121;2015-12;0,114393879;;;;
0;0,072626656;0,079680287;0,847688587;0,023920862;2016-1;0,116079138;;;;
0;0,068881979;0,08611523;0,845004032;0,055408886;2016-2;0,084591114;;;;
0;0,071960845;0,083662864;0,844375829;0,040761893;2016-3;0,099238107;;;;
0;0,07318846;0,081448287;0,845361228;0,030157921;2016-4;0,109842079;;;;
0;0,074577605;0,082290829;0,843134099;0,027320098;2016-5;0,112679902;;;;
0;0,076870608;0,080259966;0,842871284;0,018889409;2016-6;0,121110591;;;;
0;0,076984269;0,079134609;0,843880408;0,003146872;2016-7;0,136853128;;;;
0;0,075641845;0,08419219;0,840160605;0,028203905;2016-8;0,111796095;;;;
0;0,067534272;0,082083305;0,85038378;0,046017747;2016-9;0,093982253;;;;
0;0,075101796;0,082232989;0,842654509;0,021479895;2016-10;0,118520105;;;;
0;0,069111424;0,090031701;0,840853498;0,066675671;2016-11;0,073324329;;;;
0;0,075628146;0,09062875;0,833744111;0,049449708;2016-12;0,090550292;;;;
0;0,072125561;0,082582375;0,845287385;0,040272821;2017-1;0,099727179;;;;
0;0,070722188;0,085423506;0,843857548;0,052796758;2017-2;0,087203242;;;;
0;0,076856473;0,084043815;0,839102056;0,028194483;2017-3;0,111805517;;;;
0;0,078633866;0,082202747;0,839164207;0,013504592;2017-4;0,126495408;;;;
0;0,076292348;0,083873514;0,839834881;0,026020301;2017-5;0,113979699;;;;
0;0,078875472;0,086764717;0,834360755;0,022434623;2017-6;0,117565377;;;;
0;0,075958167;0,086100694;0,837945554;0,02887448;2017-7;0,11112552;;;;
0;0,08268253;0,081260198;0,836053358;-0,006711949;2017-8;0,146711949;;;;
0;0,074700378;0,082582953;0,842719452;0,021556686;2017-9;0,118443314;;;;
0;0,082843306;0,085341389;0,831810894;0,006047142;2017-10;0,133952858;;;;
0;0,0821024;0,086712247;0,83117832;0,01079911;2017-11;0,12920089;;;;
0;0,081914035;0,087995614;0,830087061;0,020681075;2017-12;0,119318925;;;;
0;0,080780744;0,083060753;0,836161026;0,007464726;2018-1;0,132535274;;;;
0;0,08141089;0,086014214;0,832573147;0,013998338;2018-2;0,126001662;;;;
0;0,083742352;0,082677394;0,833577076;-0,008273778;2018-3;0,148273778;;;;
0;0,084091729;0,082225134;0,833679914;-0,01092101;2018-4;0,15092101;;;;
0;0,080249854;0,083801638;0,835945972;0,00792639;2018-5;0,13207361;;;;
0;0,079109864;0,088565557;0,832326985;0,029949118;2018-6;0,110050882;;;;
0;0,082993699;0,085559181;0,831438119;0,008479073;2018-7;0,131520927;;;;
0;0,078837486;0,075394139;0,845449459;-0,012564081;2018-8;0,152564081;;;;
0;0,079037061;0,081402584;0,839556544;0,011893901;2018-9;0,128106099;;;;
0;0,084982122;0,082986203;0,832030315;-0,006228099;2018-10;0,146228099;;;;
0;0,079850901;0,08754152;0,832605508;0,024379499;2018-11;0,115620501;;;;
0;0,083889578;0,093613165;0,822496065;0,023289864;2018-12;0,116710136;;;;
0;0,081309014;0,084366577;0,834314369;0,005289045;2019-1;0,134710955;;;;
0;0,082002911;0,085441291;0,832546822;0,005136366;2019-2;0,134863634;;;;
0;0,0879629;0,08334968;0,828685501;-0,020070597;2019-3;0,160070597;;;;
0;0,082797701;0,085264647;0,83193721;0,004386027;2019-4;0,135613973;;;;
0;0,082914081;0,087192949;0,829681444;0,013413701;2019-5;0,126586299;;;;
0;0,080928603;0,08417927;0,834884786;-0,000510454;2019-6;0,140510454;;;;
0;0,086890366;0,083620947;0,828087007;-0,012891603;2019-7;0,152891603;;;;
0;0,092994889;0,084047944;0,822704551;-0,035001095;2019-8;0,175001095;;;;
0;0,077338388;0,08378995;0,838647125;0,017296673;2019-9;0,122703327;;;;
0;0,084178392;0,081651634;0,834173582;-0,014725857;2019-10;0,154725857;;;;
0;0,079329864;0,085933258;0,834729186;0,018294525;2019-11;0,121705475;;;;
;;;;;;;;;;
